10.53.21.24,4444,http
10.53.21.24,47001,http
10.53.21.24,5252,http
10.53.21.24,5985,http
10.53.21.25,4444,http
10.53.21.25,47001,http
10.53.21.25,5252,http
10.53.21.25,5985,http
10.53.21.26,15671,http
10.53.21.26,47001,http
10.53.21.26,5985,http
10.53.21.27,15671,http
10.53.21.29,80,http
10.53.21.29,8080,http
10.53.21.29,88,http
10.53.21.30,8080,http
10.53.21.30,88,http
10.53.21.32,47001,http
10.53.21.32,5985,http
10.53.21.32,80,http
10.53.21.32,8530,http
10.53.21.33,47001,http
10.53.21.33,5985,http
10.53.21.33,80,http
10.53.21.33,8530,http
10.53.21.36,47001,http
10.53.21.36,5985,http
10.53.21.37,47001,http
10.53.21.37,5985,http
10.53.21.37,80,http
10.53.21.37,8530,http
10.53.21.37,8834,http
10.53.21.33,80,http
10.53.21.28,1433,discovery
10.53.21.26,15671,http
10.53.21.33,80,http
10.53.21.33,8530,http
10.53.21.24,3389,ssl
10.53.21.24,9090,ssl
10.53.21.24,9200,ssl
10.53.21.25,3389,ssl
10.53.21.25,9090,ssl
10.53.21.25,9200,ssl
10.53.21.26,3389,ssl
10.53.21.26,443,ssl
10.53.21.26,5671,ssl
10.53.21.27,3389,ssl
10.53.21.27,443,ssl
10.53.21.27,5671,ssl
10.53.21.28,3389,ssl
10.53.21.29,3389,ssl
10.53.21.29,443,ssl
10.53.21.30,3389,ssl
10.53.21.30,443,ssl
10.53.21.32,3389,ssl
10.53.21.33,3389,ssl
10.53.21.36,3389,ssl
10.53.21.37,3389,ssl
,0,Dead
